"","pid","ms_subclass","lot_area","overall_qual","overall_cond","year_built","year_remod/add","mas_vnr_area","bsmtfin_sf_1","bsmtfin_sf_2","bsmt_unf_sf","total_bsmt_sf","1st_flr_sf","2nd_flr_sf","low_qual_fin_sf","gr_liv_area","bsmt_full_bath","bsmt_half_bath","full_bath","half_bath","bedroom_abvgr","kitchen_abvgr","totrms_abvgrd","fireplaces","garage_yr_blt","garage_cars","garage_area","wood_deck_sf","open_porch_sf","enclosed_porch","3ssn_porch","screen_porch","pool_area","misc_val","mo_sold","yr_sold","saleprice","street_num","lot","zone","land","lot_location","land_sl","roof","roof_m","heat","sale_cond","al","condition1","buliding","build","extertior_qual","extertior","extertior_cond","CA","elec","func","driveway"
"13","0527166040","060",8402,6,5,1998,1998,0,0,0,789,789,789,676,0,1465,0,0,2,1,3,1,7,1,1998,2,393,0,75,0,0,0,0,0,5,2010,180400,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14","0527180040","020",10176,7,5,1990,1990,0,637,0,663,1300,1341,0,0,1341,1,0,1,1,2,1,5,1,1990,2,506,192,0,0,0,0,0,0,2,2010,171500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15","0527182190","120",6820,8,5,1985,1985,0,368,1120,0,1488,1502,0,0,1502,1,0,1,1,1,1,4,0,1985,2,528,0,54,0,0,140,0,0,6,2010,212000,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
"16","0527225035","050",12134,8,7,1988,2005,0,427,0,132,559,1080,672,0,1752,0,0,2,0,4,1,8,0,1988,2,492,325,12,0,0,0,0,0,6,2010,164000,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"17","0527258010","020",11394,9,2,2010,2010,350,1445,0,411,1856,1856,0,0,1856,1,0,1,1,1,1,8,1,2010,3,834,113,0,0,0,0,0,0,6,2010,394432,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1
"18","0527276150","020",19138,4,5,1951,1951,0,120,0,744,864,864,0,0,864,0,0,1,0,2,1,4,0,1951,2,400,0,0,0,0,0,0,0,6,2010,141000,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19","0527302110","020",13175,6,6,1978,1988,119,790,163,589,1542,2073,0,0,2073,1,0,2,0,3,1,7,2,1978,2,500,349,0,0,0,0,0,0,2,2010,210000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"20","0527358140","020",11751,6,6,1977,1977,480,705,0,1139,1844,1844,0,0,1844,0,0,2,0,3,1,7,1,1977,2,546,0,122,0,0,0,0,0,1,2010,190000,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21","0527358200","085",10625,7,6,1974,1974,81,885,168,0,1053,1173,0,0,1173,1,0,2,0,3,1,6,2,1974,2,528,0,120,0,0,0,0,0,1,2010,170000,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"22","0527368020","060",7500,7,5,2000,2000,0,533,0,281,814,814,860,0,1674,1,0,2,1,3,1,7,0,2000,2,663,0,96,0,0,0,0,0,1,2010,216000,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"23","0527402200","020",11241,6,7,1970,1970,180,578,0,426,1004,1004,0,0,1004,1,0,1,0,2,1,5,1,1970,2,480,0,0,0,0,0,0,700,3,2010,149000,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24","0527402250","020",12537,5,6,1971,2008,0,734,0,344,1078,1078,0,0,1078,1,0,1,1,3,1,6,1,1971,2,500,0,0,0,0,0,0,0,4,2010,149900,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"25","0527403020","020",8450,5,6,1968,1968,0,775,0,281,1056,1056,0,0,1056,1,0,1,0,3,1,6,1,1968,1,304,0,85,184,0,0,0,0,7,2010,142000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26","0527404120","020",8400,4,5,1970,1970,0,804,78,0,882,882,0,0,882,1,0,1,0,2,1,4,0,1970,2,525,240,0,0,0,0,0,0,4,2010,126000,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"27","0527427230","120",5858,7,5,1999,1999,0,1051,0,354,1405,1337,0,0,1337,1,0,2,0,2,1,5,1,1999,2,511,203,68,0,0,0,0,0,6,2010,184000,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
"28","0527451180","160",1680,6,5,1971,1971,504,156,0,327,483,483,504,0,987,0,0,1,1,2,1,5,0,1971,1,264,275,0,0,0,0,0,0,2,2010,96000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"29","0527451330","160",1680,5,5,1971,1971,492,300,0,225,525,525,567,0,1092,0,0,1,1,3,1,6,0,1997,1,320,0,0,0,0,0,0,0,3,2010,105500,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"30","0527451410","160",1680,6,5,1971,1971,381,0,0,525,525,525,567,0,1092,0,0,1,1,3,1,6,0,1971,1,264,0,0,0,0,0,0,0,3,2010,88000,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1
"31","0527452190","120",4043,6,5,1977,1977,0,360,0,709,1069,1069,0,0,1069,0,0,2,0,2,1,4,1,1977,2,440,0,55,0,0,165,0,0,7,2010,127500,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"32","0527453130","160",2280,6,6,1975,1975,0,514,0,341,855,855,601,0,1456,0,0,2,1,3,1,6,1,1975,2,440,173,0,0,0,0,0,0,6,2010,149900,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"33","0527453150","120",2280,7,6,1975,1975,0,0,0,836,836,836,0,0,836,0,0,1,0,2,1,4,0,1975,1,308,0,30,0,0,0,0,0,6,2010,120000,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"34","0527454200","160",2280,6,5,1978,1978,0,311,0,544,855,855,601,0,1456,0,0,2,1,3,1,7,1,1978,2,440,26,0,0,0,0,0,0,7,2010,146000,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"35","0528108120","060",12858,9,5,2009,2010,162,0,0,1590,1590,1627,707,0,2334,0,0,2,1,3,1,10,1,2009,3,751,144,133,0,0,0,0,0,1,2010,376162,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1
"36","0528112020","020",11478,8,5,2007,2008,200,1218,0,486,1704,1704,0,0,1704,1,0,2,0,3,1,7,1,2008,3,772,0,50,0,0,0,0,0,5,2010,306000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"37","0528120060","020",10159,9,5,2009,2010,450,1646,0,284,1930,1940,0,0,1940,1,0,2,1,3,1,8,1,2010,3,606,168,95,0,0,0,0,0,4,2010,395192,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1
"38","0528120090","020",12883,8,5,2009,2010,256,0,0,1544,1544,1544,0,0,1544,0,0,2,0,3,1,7,0,2009,3,868,0,35,0,0,0,0,0,6,2010,290941,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1
"39","0528120100","020",12182,7,5,2005,2005,226,1201,0,340,1541,1541,0,0,1541,0,0,2,0,3,1,7,1,2005,2,532,0,70,0,0,0,0,0,5,2010,220000,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1
"40","0528120120","020",11520,9,5,2005,2005,615,110,0,1588,1698,1698,0,0,1698,0,0,2,0,3,1,7,1,2005,3,730,192,74,0,0,0,0,0,6,2010,275000,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1
"41","0528138020","020",14122,8,5,2005,2006,240,28,0,1794,1822,1822,0,0,1822,0,0,2,0,3,1,8,1,2005,3,678,0,119,0,0,0,0,0,2,2010,259000,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"42","0528138060","020",10171,7,5,2004,2004,168,2,0,1515,1517,1535,0,0,1535,0,0,2,0,3,1,7,0,2004,2,532,0,0,0,0,0,0,0,3,2010,214000,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"43","0528175010","120",6371,7,5,2009,2010,128,733,0,625,1358,1358,0,0,1358,1,0,2,0,2,1,6,1,2010,2,484,192,35,0,0,0,0,0,6,2010,224000,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1
"44","0528176070","060",13650,8,5,2002,2002,232,578,0,1093,1671,1687,563,0,2250,1,0,2,1,3,1,7,1,2002,3,756,238,130,0,0,0,0,0,6,2010,320000,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"45","0528180070","120",7658,9,5,2005,2005,412,456,0,1296,1752,1752,0,0,1752,1,0,2,0,2,1,6,1,2005,2,576,196,82,0,0,0,0,0,2,2010,319900,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1
"46","0528181050","120",7132,8,5,2006,2006,178,24,0,1346,1370,1370,0,0,1370,0,0,2,0,2,1,6,1,2006,2,484,120,49,0,0,0,0,0,4,2010,205000,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
"47","0528188120","160",2628,7,5,2003,2003,106,0,0,764,764,764,862,0,1626,0,0,2,1,2,1,6,0,2003,2,474,0,27,0,0,0,0,0,6,2010,175500,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
"48","0528218150","020",18494,6,5,2005,2005,0,0,0,1324,1324,1324,0,0,1324,0,0,2,0,3,1,6,0,2005,2,430,36,23,0,0,0,0,0,1,2010,199500,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"49","0528228285","120",3203,7,5,2006,2006,14,16,0,1129,1145,1145,0,0,1145,0,0,2,0,2,1,6,0,2006,2,437,100,116,0,0,0,0,0,1,2010,160000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
"50","0528228440","120",3182,8,5,2004,2005,16,24,0,1232,1256,1269,0,0,1269,0,0,2,0,2,1,6,1,2004,2,430,146,20,0,0,144,0,0,4,2010,192000,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
"51","0528231020","080",13300,7,5,2004,2004,0,326,0,58,384,744,630,0,1374,1,0,2,1,3,1,7,1,2004,2,400,100,0,0,0,0,0,0,6,2010,184500,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"52","0528240130","060",8577,7,5,2004,2004,0,0,0,847,847,847,886,0,1733,0,0,2,1,3,1,7,1,2004,2,433,144,48,0,0,0,0,0,4,2010,185088,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"53","0528250100","080",7750,7,5,2000,2000,0,250,0,134,384,774,656,0,1430,0,0,2,1,3,1,7,1,2000,2,400,180,0,0,0,0,0,0,4,2010,180000,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"54","0528292020","060",9505,7,5,2001,2001,180,0,0,884,884,884,1151,0,2035,0,0,2,1,3,1,8,1,2001,2,434,144,48,0,0,0,0,0,5,2010,222500,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"55","0528328100","060",14774,9,5,1999,1999,165,0,0,1393,1393,1422,1177,0,2599,0,0,2,1,4,1,10,1,1999,3,779,668,30,0,0,0,0,0,5,2010,333168,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"56","0528344070","060",17433,8,5,1998,1998,114,0,0,1629,1629,1645,830,0,2475,0,0,2,1,4,1,7,1,1998,3,962,23,172,0,0,256,0,0,1,2010,355000,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"57","0528358010","020",10593,7,5,1996,1996,338,919,0,801,1720,1720,0,0,1720,1,0,2,0,3,1,7,1,1996,2,527,240,56,154,0,0,0,0,3,2010,260400,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"58","0528363130","060",12256,8,5,1994,1995,362,1032,0,431,1463,1500,1122,0,2622,1,0,2,1,3,1,9,2,1994,2,712,186,32,0,0,0,0,0,4,2010,325000,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"59","0528382020","060",11764,8,7,1999,2007,348,524,0,628,1152,1164,1106,0,2270,0,0,2,1,4,1,9,1,1999,3,671,132,57,0,0,0,0,0,4,2010,290000,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"60","0528382030","060",16770,7,5,1998,1998,30,0,0,1195,1195,1195,644,0,1839,0,0,2,1,4,1,7,0,1998,2,486,0,81,0,0,0,0,0,6,2010,221000,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"61","0528386040","050",14720,8,5,1995,1996,579,816,0,1217,2033,2053,1185,0,3238,1,0,2,1,4,1,9,1,1996,3,666,283,86,0,0,0,0,0,3,2010,410000,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"62","0528445060","020",8987,8,5,2005,2006,226,0,0,1595,1595,1595,0,0,1595,0,0,2,0,2,1,6,1,2005,3,880,144,0,0,0,0,0,0,5,2010,221500,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"63","0528456160","020",9215,7,5,2009,2010,0,0,0,1218,1218,1218,0,0,1218,0,0,2,0,2,1,4,0,2009,2,676,0,136,0,0,0,0,0,4,2010,204500,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1
"64","0528458070","060",8640,7,5,2009,2009,0,24,0,732,756,764,783,0,1547,0,0,2,1,3,1,7,0,2009,2,614,169,45,0,0,0,0,0,6,2010,215200,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"65","0528458110","020",9000,8,5,2008,2008,36,1078,0,488,1566,1566,0,0,1566,1,0,2,0,3,1,7,0,2008,2,750,144,168,0,0,0,0,0,4,2010,262500,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"66","0528477080","060",12552,7,5,2004,2005,0,222,0,769,991,991,956,0,1947,0,0,2,1,3,1,8,1,2004,2,678,0,136,0,0,0,0,0,5,2010,254900,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"67","0528480090","020",10440,6,5,2005,2005,0,1414,0,54,1468,1468,0,0,1468,1,0,2,0,2,1,6,1,2005,2,528,0,102,0,0,216,0,0,5,2010,271500,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"68","0531367050","060",10142,7,5,2004,2004,0,656,0,300,956,956,1128,0,2084,1,0,2,1,4,1,8,0,2004,2,618,0,45,0,0,0,0,0,1,2010,233000,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"69","0531369060","060",11920,7,5,2004,2004,122,0,0,831,831,831,828,0,1659,0,0,2,1,3,1,8,0,2004,2,484,144,68,0,0,0,0,0,4,2010,181000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"70","0531380080","060",8880,7,5,1994,2002,0,695,0,253,948,1222,888,0,2110,1,0,2,1,3,1,8,2,1994,2,463,0,130,0,0,0,0,0,5,2010,205000,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"71","0531451110","120",8012,6,5,1980,1980,0,543,119,261,923,923,0,0,923,0,0,2,0,2,1,5,1,1980,1,264,80,0,0,0,0,0,0,5,2010,143000,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"72","0531451280","060",11218,6,5,1992,1992,0,0,0,1055,1055,1055,790,0,1845,0,0,2,1,3,1,8,1,1992,2,462,635,104,0,0,0,0,400,5,2010,189000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"73","0531452020","120",7892,6,5,1979,1979,0,0,0,918,918,918,0,0,918,0,0,2,0,2,1,5,1,1979,1,264,28,0,0,0,0,0,0,4,2010,99500,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"74","0531452050","120",7175,6,5,1984,1984,0,623,121,0,744,752,0,0,752,1,0,1,0,2,1,4,0,1984,1,264,353,0,0,0,90,0,0,2,2010,125000,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"75","0531452180","060",9453,7,7,1993,2003,0,402,0,594,996,1014,730,0,1744,0,0,2,1,3,1,7,0,1993,2,457,370,70,0,238,0,0,0,2,2010,194500,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1
"76","0531453010","020",9672,6,5,1984,1985,0,338,0,702,1040,1097,0,0,1097,0,0,2,0,3,1,6,0,1986,2,480,0,0,0,0,0,0,0,5,2010,152000,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"77","0531453040","060",8400,6,6,1980,1981,130,0,0,650,650,888,676,0,1564,0,0,2,1,3,1,7,1,1980,2,476,0,50,0,0,204,0,0,4,2010,171000,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"78","0532351140","090",8930,6,5,1978,1978,0,0,0,0,0,1318,584,0,1902,0,0,2,0,4,2,8,0,1978,2,539,0,0,0,0,0,0,0,4,2010,112000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
"79","0532354090","085",11782,5,7,1961,1995,0,899,0,210,1109,1155,0,0,1155,1,0,1,0,3,1,6,0,1987,2,576,192,0,0,0,0,0,400,6,2010,148000,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"80","0532376160","020",8450,5,8,1965,2009,0,553,117,224,894,894,0,0,894,1,0,1,0,3,1,5,1,1973,1,336,416,144,0,0,0,0,0,4,2010,138500,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
"81","0532377060","020",9819,5,5,1967,1967,31,450,0,432,882,900,0,0,900,0,0,1,0,3,1,5,0,1970,1,280,0,0,0,0,0,0,0,2,2010,122000,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"82","0532377100","020",7500,5,5,1963,1963,0,824,0,216,1040,1040,0,0,1040,1,0,1,1,3,1,5,0,1963,1,308,0,0,220,0,0,0,0,6,2010,133000,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"83","0532378110","020",6897,5,8,1962,2010,0,659,0,381,1040,1040,0,0,1040,1,0,1,1,3,1,6,0,1962,1,260,0,104,0,0,0,0,0,4,2010,127000,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"84","0532479070","020",15410,6,6,1974,2002,250,126,859,223,1208,1494,0,0,1494,1,0,2,0,3,1,7,2,1974,2,461,296,0,186,0,0,0,0,4,2010,169000,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1
"85","0533130020","060",10186,7,5,1992,1992,0,674,0,76,750,1061,862,0,1923,1,0,2,1,3,1,8,1,1992,2,564,240,39,0,0,0,0,0,6,2010,190000,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"86","0533130130","060",13143,8,5,1993,1993,504,250,981,0,1231,1251,1098,0,2349,1,0,2,1,4,1,9,1,1993,3,762,32,130,0,0,0,0,0,6,2010,362500,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"87","0533130160","060",11134,8,5,1992,1993,180,1129,0,261,1390,1402,823,0,2225,1,0,2,1,4,1,7,1,1992,3,713,198,30,0,0,0,0,0,6,2010,285000,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"88","0533205060","120",4835,7,5,2004,2005,0,1298,0,190,1488,1488,0,0,1488,1,0,2,0,2,1,6,1,2004,2,506,168,50,0,0,0,0,0,3,2010,260000,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
"89","0533208090","160",3515,7,5,2004,2004,0,0,0,840,840,840,840,0,1680,0,0,2,1,2,1,3,0,2004,2,588,0,111,0,0,0,0,0,1,2010,190000,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1
"90","0533210060","160",3215,7,5,2004,2004,120,280,0,320,600,600,600,0,1200,0,0,2,1,2,1,4,0,2004,2,480,0,172,0,0,0,0,0,4,2010,155000,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1
"91","0533212010","160",3182,7,5,2004,2005,0,0,0,600,600,600,600,0,1200,0,0,2,1,2,1,4,0,2004,2,480,0,172,0,0,0,0,0,6,2010,151000,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1
"92","0533212020","160",2544,7,5,2004,2005,0,368,42,190,600,600,600,0,1200,1,0,2,1,2,1,4,0,2004,2,480,0,172,0,0,0,0,0,2,2010,149500,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1
"93","0533212060","160",2544,6,5,2005,2005,216,376,0,224,600,600,636,0,1236,1,0,2,1,2,1,4,0,2005,2,480,0,166,0,0,0,0,0,5,2010,152000,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1
"94","0533213030","020",4403,7,5,2009,2009,432,578,0,892,1470,1478,0,0,1478,1,0,2,1,2,1,7,1,2009,2,484,0,144,0,0,0,0,0,6,2010,222000,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1
"95","0533221090","160",2117,6,5,2000,2000,216,378,0,378,756,769,804,0,1573,0,0,2,1,3,1,5,0,2000,2,440,0,32,0,0,0,0,0,6,2010,177500,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
"96","0533221110","160",2980,6,5,2000,2000,1159,466,0,290,756,756,756,0,1512,1,0,2,1,2,1,5,0,2000,2,440,0,32,0,0,0,0,0,5,2010,177000,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
"97","0533223020","160",2572,7,5,1999,1999,0,604,0,92,696,696,720,0,1416,1,0,2,1,3,1,6,0,1999,2,484,0,44,0,0,0,0,0,5,2010,155000,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1
"98","0533223100","160",2403,7,5,2003,2003,0,244,0,286,530,530,550,0,1080,0,0,2,1,2,1,4,0,2003,2,496,0,50,0,0,0,0,0,6,2010,147110,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
"99","0533238045","020",12853,8,5,2010,2010,0,1032,0,610,1642,1418,0,0,1418,1,0,1,1,1,1,6,1,2010,3,852,160,192,0,224,0,0,0,4,2010,267916,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1
"100","0533244030","060",7379,8,5,2000,2000,0,484,0,491,975,975,873,0,1848,1,0,2,1,3,1,7,1,2000,2,592,280,184,0,0,0,0,0,4,2010,254000,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"101","0533253060","120",4420,8,5,1980,1980,0,728,0,0,728,788,0,0,788,1,0,1,0,1,1,3,1,1980,2,484,133,42,0,0,0,0,0,6,2010,155000,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
